"Date","Price","Open","High","Low","Vol.","Change %"
"05/24/2024","2.4308","2.4334","2.4472","2.4070","52.04K","0.08%"
"05/23/2024","2.4288","2.4421","2.4853","2.4177","66.12K","-0.72%"
"05/22/2024","2.4463","2.4755","2.4803","2.4375","46.78K","-1.29%"
"05/21/2024","2.4783","2.4965","2.5007","2.4597","44.83K","-0.99%"
"05/20/2024","2.5031","2.5070","2.5197","2.4747","50.09K","0.08%"
"05/17/2024","2.5012","2.4680","2.5066","2.4661","54.19K","1.69%"
"05/16/2024","2.4596","2.4428","2.4708","2.4335","36.68K","0.88%"
"05/15/2024","2.4381","2.4440","2.4547","2.3930","39.90K","0.15%"
"05/14/2024","2.4345","2.4544","2.4623","2.4179","38.83K","-0.76%"
"05/13/2024","2.4531","2.4447","2.4817","2.4385","38.80K","0.13%"
"05/10/2024","2.4498","2.4975","2.5140","2.4465","32.08K","-1.64%"
"05/09/2024","2.4907","2.4885","2.5211","2.4835","31.93K","0.11%"
"05/08/2024","2.4879","2.4745","2.4993","2.4407","39.44K","0.36%"
"05/07/2024","2.4790","2.4800","2.4948","2.4413","31.25K","0.21%"
"05/06/2024","2.4739","2.4550","2.4889","2.4476","26.76K","0.69%"
"05/03/2024","2.4570","2.4643","2.4752","2.4450","29.27K","-0.02%"
"05/02/2024","2.4576","2.4709","2.4884","2.4379","38.50K","-0.30%"
"05/01/2024","2.4651","2.5241","2.5415","2.4598","38.33K","-2.47%"
"04/30/2024","2.5276","2.5554","2.5715","2.4899","60.74K","-0.72%"
"04/29/2024","2.5460","2.5603","2.5828","2.5405","57.48K","-0.57%"
"04/26/2024","2.5607","2.5692","2.5959","2.5570","60.43K","0.01%"
"04/25/2024","2.5604","2.5643","2.5840","2.5279","63.80K","0.03%"
"04/24/2024","2.5597","2.5817","2.5930","2.5447","57.01K","-1.02%"
"04/23/2024","2.5860","2.5767","2.5950","2.5309","66.03K","0.70%"
"04/22/2024","2.5679","2.5498","2.5770","2.5123","51.64K","0.68%"
"04/19/2024","2.5506","2.5426","2.6540","2.5226","70.77K","0.33%"
"04/18/2024","2.5422","2.5845","2.5926","2.5350","59.86K","-1.50%"
"04/17/2024","2.5809","2.6581","2.6643","2.5702","62.30K","-2.89%"
"04/16/2024","2.6578","2.6651","2.6799","2.6327","51.60K","-0.01%"
"04/15/2024","2.6580","2.6960","2.7074","2.6198","41.47K","-0.99%"
"04/12/2024","2.6846","2.6728","2.7333","2.6683","40.65K","0.83%"
"04/11/2024","2.6624","2.7100","2.7202","2.6532","55.66K","-1.53%"
"04/10/2024","2.7038","2.6748","2.7135","2.6542","55.17K","1.04%"
"04/09/2024","2.6759","2.7233","2.7368","2.6723","46.15K","-1.68%"
"04/08/2024","2.7217","2.7440","2.7445","2.6905","38.61K","-1.48%"
"04/05/2024","2.7625","2.7452","2.7827","2.7401","43.07K","1.03%"
"04/04/2024","2.7343","2.7260","2.7535","2.6881","33.79K","0.40%"
"04/03/2024","2.7233","2.7192","2.7597","2.7075","52.34K","0.68%"
"04/02/2024","2.7050","2.6420","2.7186","2.6339","55.41K","3.02%"
"04/01/2024","2.6258","2.6189","2.6372","2.5804","31.16K","0.12%"
"03/28/2024","2.6227","2.6047","2.6307","2.5847","60.83K","0.78%"
"03/27/2024","2.6025","2.6046","2.6136","2.5809","63.55K","-0.51%"
"03/26/2024","2.6159","2.6700","2.6729","2.6030","80.31K","-1.81%"
"03/25/2024","2.6642","2.6385","2.6911","2.6371","58.97K","0.97%"
"03/22/2024","2.6385","2.6423","2.6708","2.6316","58.59K","-0.49%"
"03/21/2024","2.6516","2.6749","2.6855","2.6204","61.38K","-0.89%"
"03/20/2024","2.6754","2.7302","2.7378","2.6561","70.20K","-2.31%"
"03/19/2024","2.7386","2.7489","2.7540","2.7279","48.71K","-0.84%"
"03/18/2024","2.7617","2.6960","2.7666","2.6951","64.95K","2.44%"
"03/15/2024","2.6958","2.6880","2.7067","2.6543","55.13K","0.38%"
"03/14/2024","2.6857","2.6640","2.6941","2.6570","52.57K","1.14%"
"03/13/2024","2.6555","2.5962","2.6670","2.5914","59.33K","2.75%"
"03/12/2024","2.5845","2.6069","2.6300","2.5717","55.94K","-0.83%"
"03/11/2024","2.6061","2.5730","2.6180","2.5483","44.34K","0.64%"
"03/08/2024","2.5895","2.6373","2.6602","2.5697","41.44K","-1.65%"
"03/07/2024","2.6329","2.6044","2.6515","2.5910","48.74K","0.82%"
"03/06/2024","2.6115","2.5578","2.6300","2.5522","40.93K","1.93%"
"03/05/2024","2.5621","2.5940","2.6116","2.5559","32.15K","-1.35%"
"03/04/2024","2.5972","2.6421","2.6482","2.5845","38.38K","-1.66%"
"03/01/2024","2.6410","2.5943","2.6600","2.5897","37.53K","-0.34%"
"02/29/2024","2.6499","2.6165","2.6750","2.5845","84.58K","0.91%"
"02/28/2024","2.6260","2.6882","2.7015","2.6081","96.31K","-2.66%"
"02/27/2024","2.6977","2.7160","2.7287","2.6816","57.61K","-0.35%"
"02/26/2024","2.7073","2.6400","2.7177","2.6166","66.84K","2.51%"
"02/23/2024","2.6411","2.6987","2.7045","2.6237","75.82K","-2.30%"
"02/22/2024","2.7033","2.6752","2.7090","2.6238","74.00K","1.56%"
"02/21/2024","2.6619","2.6859","2.6888","2.6411","69.66K","-0.63%"
"02/20/2024","2.6787","2.7491","2.7616","2.6748","73.72K","-4.84%"
"02/19/2024","2.8148","2.7946","2.8221","2.7601","","2.28%"
"02/16/2024","2.7521","2.7626","2.7659","2.7014","72.25K","-0.47%"
"02/15/2024","2.7650","2.7472","2.8002","2.7202","70.83K","0.37%"
"02/14/2024","2.7547","2.8305","2.8400","2.7449","74.99K","-2.61%"
"02/13/2024","2.8285","2.8544","2.8784","2.8122","57.79K","-0.32%"
"02/12/2024","2.8377","2.8591","2.8591","2.8123","48.42K","-1.17%"
"02/09/2024","2.8713","2.8168","2.8814","2.7989","70.22K","2.01%"
"02/08/2024","2.8147","2.7496","2.8201","2.7317","58.41K","2.63%"
"02/07/2024","2.7425","2.6931","2.7513","2.6836","55.75K","2.36%"
"02/06/2024","2.6794","2.6648","2.6976","2.6505","41.60K","0.73%"
"02/05/2024","2.6599","2.6237","2.6667","2.6028","36.24K","2.16%"
"02/02/2024","2.6037","2.6606","2.6771","2.5847","49.97K","-1.96%"
"02/01/2024","2.6558","2.7316","2.7531","2.6319","74.23K","-4.65%"
"01/31/2024","2.7852","2.7771","2.8111","2.7523","68.22K","0.31%"
"01/30/2024","2.7766","2.8036","2.8164","2.7275","65.46K","-0.72%"
"01/29/2024","2.7966","2.8390","2.8557","2.7734","74.78K","-0.32%"
"01/26/2024","2.8057","2.7606","2.8320","2.7118","92.82K","1.45%"
"01/25/2024","2.7655","2.6612","2.7695","2.6610","86.95K","4.15%"
"01/24/2024","2.6554","2.6681","2.6896","2.6366","65.60K","-0.30%"
"01/23/2024","2.6634","2.6679","2.6871","2.6225","57.77K","-0.01%"
"01/22/2024","2.6637","2.6355","2.6818","2.6030","63.74K","1.37%"
"01/19/2024","2.6278","2.6475","2.6818","2.6225","57.31K","-0.82%"
"01/18/2024","2.6496","2.6075","2.6542","2.5891","50.19K","1.51%"
"01/17/2024","2.6103","2.6058","2.6152","2.5668","56.54K","-0.11%"
"01/16/2024","2.6131","2.6150","2.6718","2.5700","97.30K","-1.77%"
"01/15/2024","2.6603","2.6613","2.6756","2.6155","","-0.03%"
"01/14/2024","2.6612","2.6592","2.6614","2.6532","","1.75%"
"01/12/2024","2.6155","2.6324","2.7190","2.6126","68.69K","0.04%"
"01/11/2024","2.6144","2.5560","2.6433","2.5515","58.87K","2.37%"
"01/10/2024","2.5538","2.5927","2.6428","2.5449","63.56K","-1.79%"
"01/09/2024","2.6004","2.5498","2.6226","2.5397","65.10K","2.52%"
"01/08/2024","2.5365","2.5869","2.5940","2.4938","43.74K","-1.53%"
"01/05/2024","2.5759","2.5511","2.5881","2.5504","34.58K","0.88%"
"01/04/2024","2.5535","2.5692","2.5918","2.5233","41.96K","-0.64%"
"01/03/2024","2.5699","2.4967","2.5883","2.4740","36.02K","3.09%"
"01/02/2024","2.4929","2.5363","2.5594","2.4793","33.59K","-2.70%"
"01/01/2024","2.5620","2.5720","2.5732","2.5591","","1.31%"
"12/29/2023","2.5289","2.5425","2.5800","2.5170","56.69K","-0.45%"
"12/28/2023","2.5403","2.5985","2.6140","2.5336","53.56K","-2.39%"
"12/27/2023","2.6025","2.6401","2.6667","2.5987","44.21K","-1.67%"
"12/26/2023","2.6467","2.6284","2.7036","2.6210","47.79K","0.57%"
"12/25/2023","2.6317","2.6242","2.6330","2.6242","","-0.16%"
"12/22/2023","2.6358","2.6770","2.7025","2.6269","44.73K","-1.29%"
"12/21/2023","2.6702","2.6690","2.6898","2.6347","37.30K","-0.52%"
"12/20/2023","2.6842","2.7003","2.7376","2.6695","50.15K","-0.19%"
